"song_id","album_id",
"7","66",
"74","242",
"401","412",
"178","368",
"494","262",
"137","136",
"131","319",
"459","131",
"475","443",
"325","187",
"22","298",
"498","59",
"142","183",
"467","268",
"329","421",
"212","287",
"126","175",
"386","41",
"194","245",
"200","97",
"83","367",
"91","405",
"416","105",
"99","270",
"479","282",
"305","339",
"475","182",
"362","260",
"126","20",
"290","408",
"288","178",
"271","475",
"424","252",
"379","176",
"105","225",
"34","80",
"426","118",
"289","441",
"331","218",
"40","97",
"471","243",
"448","209",
"23","74",
"401","193",
"267","127",
"325","294",
"231","284",
"12","68",
"45","166",
"148","159",
"405","410",
"9","184",
"293","12",
"365","289",
"464","345",
"108","334",
"302","489",
"483","173",
"328","352",
"292","113",
"375","138",
"416","370",
"86","265",
"184","198",
"184","251",
"183","217",
"189","39",
"157","264",
"129","451",
"24","420",
"449","15",
"451","37",
"446","143",
"56","272",
"286","345",
"4","231",
"204","424",
"87","144",
"101","237",
"268","472",
"233","284",
"209","355",
"363","385",
"12","26",
"459","252",
"358","39",
"246","450",
"355","430",
"262","469",
"341","343",
"166","459",
"7","369",
"224","341",
"451","312",
"320","170",
"363","492",
"337","499",
"432","295",
"312","220",
"129","384",
"454","484",
"137","208",
"302","124",
"252","106",
"102","81",
"49","283",
"263","275",
"474","283",
"102","448",
"138","466",
"283","428",
"211","2",
"203","351",
"65","76",
"496","396",
"349","477",
"383","270",
"100","359",
"163","290",
"456","454",
"273","117",
"180","277",
"91","499",
"413","107",
"217","394",
"316","118",
"373","451",
"382","181",
"454","302",
"483","224",
"486","220",
"94","471",
"392","94",
"70","420",
"423","97",
"446","459",
"473","252",
"418","293",
"373","436",
"355","219",
"107","68",
"268","285",
"233","322",
"200","301",
"440","219",
"132","347",
"152","74",
"249","439",
"99","396",
"205","83",
"379","318",
"21","136",
"424","382",
"340","297",
"40","124",
"361","182",
"357","371",
"66","147",
"101","307",
"283","426",
"267","380",
"232","343",
"23","202",
"336","393",
"113","162",
"379","90",
"442","180",
"339","311",
"465","392",
"188","330",
"107","279",
"207","120",
"64","428",
"331","42",
"277","399",
"399","162",
"422","316",
"6","6",
"166","464",
"438","239",
"458","190",
"10","103",
"438","130",
"329","96",
"238","395",
"165","329",
"355","213",
"90","297",
"229","127",
"343","188",
"9","160",
"259","398",
"494","394",
"60","391",
"5","133",
"246","61",
"396","254",
"302","453",
"134","162",
"345","297",
"444","94",
"90","18",
"97","227",
"150","21",
"430","216",
"119","2",
"348","456",
"204","63",
"133","193",
"361","105",
"217","324",
"221","121",
"231","72",
"347","50",
"384","452",
"25","17",
"412","212",
"55","132",
"298","2",
"260","150",
"59","187",
"489","470",
"267","436",
"280","86",
"372","449",
"82","194",
"23","460",
"64","267",
"33","90",
"283","71",
"432","41",
"337","142",
"134","177",
"137","435",
"407","180",
"152","139",
"42","205",
"98","219",
"41","394",
"103","137",
"324","77",
"373","376",
"321","430",
"213","52",
"175","65",
"447","176",
"422","488",
"203","99",
"274","282",
"169","282",
"181","103",
"408","22",
"483","462",
"397","244",
"112","435",
"62","477",
"263","123",
"39","450",
"481","182",
"170","45",
"163","423",
"426","430",
"164","493",
"343","63",
"363","296",
"7","431",
"244","281",
"420","27",
"48","42",
"452","198",
"28","489",
"312","301",
"259","383",
"50","212",
"493","188",
"328","228",
"4","191",
"205","316",
"72","91",
"73","52",
"404","90",
"410","23",
"480","352",
"159","204",
"48","78",
"355","217",
"460","371",
"486","349",
"413","499",
"257","111",
"173","459",
"380","482",
"73","37",
"326","311",
"13","131",
"63","14",
"64","484",
"409","484",
"413","472",
"277","286",
"83","392",
"262","148",
"401","13",
"255","143",
"404","423",
"308","12",
"78","204",
"421","377",
"296","165",
"379","352",
"496","154",
"459","332",
"182","499",
"164","480",
"78","260",
"236","268",
"63","233",
"26","158",
"190","271",
"100","480",
"137","161",
"282","439",
"380","258",
"447","465",
"320","351",
"88","321",
"135","401",
"209","465",
"487","119",
"369","243",
"96","123",
"237","203",
"482","175",
"112","237",
"192","319",
"287","219",
"409","189",
"270","72",
"157","383",
"155","347",
"141","173",
"477","86",
"381","452",
"437","22",
"257","64",
"491","248",
"459","359",
"470","151",
"381","355",
"457","411",
"160","203",
"149","480",
"487","110",
"153","331",
"202","51",
"438","173",
"298","119",
"450","160",
"90","149",
"321","464",
"169","119",
"142","9",
"86","242",
"404","356",
"202","50",
"15","428",
"166","240",
"57","199",
"313","331",
"439","373",
"151","415",
"270","341",
"378","476",
"273","159",
"368","88",
"431","472",
"164","382",
"124","292",
"479","471",
"7","143",
"404","218",
"191","316",
"177","352",
"241","311",
"352","396",
"307","101",
"260","215",
"217","402",
"208","482",
"36","441",
"121","364",
"59","147",
"348","457",
"429","415",
"432","81",
"482","169",
"259","365",
"264","499",
"310","382",
"341","370",
"170","205",
"441","222",
"138","116",
"209","90",
"482","437",
"117","493",
"274","457",
"26","235",
"258","214",
"354","307",
"242","500",
"288","399",
"222","301",
"196","497",
"499","419",
"249","468",
"376","317",
"330","220",
"22","129",
"50","374",
"470","493",
"208","5",
"428","251",
"153","23",
"324","396",
"128","71",
"137","367",
"94","112",
"221","371",
"434","465",
"299","191",
"287","214",
"225","476",
"190","314",
"214","141",
"299","459",
"257","5",
"11","121",
"162","69",
"20","93",
"335","136",
"264","350",
"67","320",
"79","368",
"111","429",
"135","79",
"260","205",
"244","499",
"160","193",
"318","58",
"490","475",
"52","408",
"434","208",
"500","374",
"162","366",
"181","329",
"353","445",
"356","131",
"311","85",
"5","483",
"470","334",
"156","198",
"390","183",
"50","281",
"449","342",
"194","65",
"321","52",
"279","426",
"481","218",
"191","41",
"160","302",
"369","146",
"130","324",
"413","171",
"310","192",
"170","448",
"275","478",
"488","227",
"168","397",
"74","272",
"48","315",
"400","122",
"311","400",
"72","168",
"222","174",
"181","153",
"494","153",
"406","274",
"345","220",
"184","128",
"487","13",
"86","425",
"488","424",
"143","392",
"259","465",
"301","265",
"20","493",
"148","150",
"301","195",
"349","310",
